English language name                                      | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
-----------------------------------------------------------+----------------+----------------+---------------
'Are'are                                                   | alu            |                |               
'Auhelawa                                                  | kud            |                |               
A'ou                                                       | aou            |                |               
A-Pucikwar                                                 | apq            |                |               
Aari                                                       | aiw            |                |               
Aasáx                                                      | aas            |                |               
Abadi                                                      | kbt            |                |               
Abaga                                                      | abg            |                |               
Abai Sungai                                                | abf            |                |               
Abanyom                                                    | abm            |                |               
Abar                                                       | mij            |                |               
Abau                                                       | aau            |                |               
Abaza                                                      | abq            |                |               
Abellen Ayta                                               | abp            |                |               
Abidji                                                     | abi            |                |               
Abinomn                                                    | bsa            |                |               
Abipon                                                     | axb            |                |               
Abishira                                                   | ash            |                |               
Abkhazian                                                  | abk            | abk            | ab            
Abom                                                       | aob            |                |               
Abon                                                       | abo            |                |               
Abron                                                      | abr            |                |               
Abu                                                        | ado            |                |               
Abu' Arapesh                                               | aah            |                |               
Abua                                                       | abn            |                |               
Abui                                                       | abz            |                |               
Abun                                                       | kgr            |                |               
Abure                                                      | abu            |                |               
Abureni                                                    | mgj            |                |               
Abé                                                        | aba            |                |               
Acatepec Me'phaa                                           | tpx            |                |               
Achagua                                                    | aca            |                |               
Achang                                                     | acn            |                |               
Ache                                                       | yif            |                |               
Acheron                                                    | acz            |                |               
Achi                                                       | acr            |                |               
Achinese                                                   | ace            | ace            |               
Achterhoeks                                                | act            |                |               
Achuar-Shiwiar                                             | acu            |                |               
Achumawi                                                   | acv            |                |               
Aché                                                       | guq            |                |               
Acoli                                                      | ach            | ach            |               
Acroá                                                      | acs            |                |               
Adai                                                       | xad            |                |               
Adamawa Fulfulde                                           | fub            |                |               
Adamorobe Sign Language                                    | ads            |                |               
Adang                                                      | adn            |                |               
Adangbe                                                    | adq            |                |               
Adangme                                                    | ada            | ada            |               
Adap                                                       | adp            |                |               
Adara                                                      | kad            |                |               
Adasen                                                     | tiu            |                |               
Adele                                                      | ade            |                |               
Adhola                                                     | adh            |                |               
Adi                                                        | adi            |                |               
Adilabad Gondi                                             | wsg            |                |               
Adioukrou                                                  | adj            |                |               
Adithinngithigh                                            | dth            |                |               
Adivasi Oriya                                              | ort            |                |               
Adiwasi Garasia                                            | gas            |                |               
Adnyamathanha                                              | adt            |                |               
Adonara                                                    | adr            |                |               
Aduge                                                      | adu            |                |               
Adyghe                                                     | ady            | ady            |               
Adzera                                                     | adz            |                |               
Aeka                                                       | aez            |                |               
Aekyom                                                     | awi            |                |               
Aequian                                                    | xae            |                |               
Aer                                                        | aeq            |                |               
Afade                                                      | aal            |                |               
Afar                                                       | aar            | aar            | aa            
Afghan Sign Language                                       | afg            |                |               
Afitti                                                     | aft            |                |               
Afrihili                                                   | afh            | afh            |               
Afrikaans                                                  | afr            | afr            | af            
Afro-Asiatic languages                                     | afa            | afa            |               
Afro-Seminole Creole                                       | afs            |                |               
Agarabi                                                    | agd            |                |               
Agariya                                                    | agi            |                |               
Agatu                                                      | agc            |                |               
Agavotaguerra                                              | avo            |                |               
Aghem                                                      | agq            |                |               
Aghu Tharnggalu                                            | ggr            |                |               
Aghu                                                       | ahh            |                |               
Aghu-Tharnggala                                            | gtu            |                |               
Aghul                                                      | agx            |                |               
Aghwan                                                     | xag            |                |               
Agi                                                        | aif            |                |               
Agob                                                       | kit            |                |               
Agoi                                                       | ibm            |                |               
Aguacateco                                                 | agu            |                |               
Aguano                                                     | aga            |                |               
Aguaruna                                                   | agr            |                |               
Aguna                                                      | aug            |                |               
Agusan Manobo                                              | msm            |                |               
Agutaynen                                                  | agn            |                |               
Agwagwune                                                  | yay            |                |               
Ahanta                                                     | aha            |                |               
Aheri Gondi                                                | esg            |                |               
Aheu                                                       | thm            |                |               
Ahirani                                                    | ahr            |                |               
Ahom                                                       | aho            |                |               
Ahtena                                                     | aht            |                |               
Ahwai                                                      | nfd            |                |               
Ai-Cham                                                    | aih            |                |               
Aighon                                                     | aix            |                |               
Aikanã                                                     | tba            |                |               
Aiklep                                                     | mwg            |                |               
Aimaq                                                      | aiq            |                |               
Aimele                                                     | ail            |                |               
Aimol                                                      | aim            |                |               
Ainbai                                                     | aic            |                |               
Ainu (China)                                               | aib            |                |               
Ainu (Japan)                                               | ain            | ain            |               
Aiome                                                      | aki            |                |               
Airoran                                                    | air            |                |               
Aiton                                                      | aio            |                |               
Aja (Benin)                                                | ajg            |                |               
Aja (South Sudan)                                          | aja            |                |               
Ajawa                                                      | ajw            |                |               
Ajië                                                       | aji            |                |               
Ajumbu                                                     | muc            |                |               
Ajyíninka Apurucayali                                      | cpc            |                |               
Ak                                                         | akq            |                |               
Aka                                                        | soh            |                |               
Aka-Bea                                                    | abj            |                |               
Aka-Bo                                                     | akm            |                |               
Aka-Cari                                                   | aci            |                |               
Aka-Jeru                                                   | akj            |                |               
Aka-Kede                                                   | akx            |                |               
Aka-Kol                                                    | aky            |                |               
Aka-Kora                                                   | ack            |                |               
Akan                                                       | aka            | aka            | ak            
Akar-Bale                                                  | acl            |                |               
Akaselem                                                   | aks            |                |               
Akawaio                                                    | ake            |                |               
Ake                                                        | aik            |                |               
Akebu                                                      | keu            |                |               
Akei                                                       | tsr            |                |               
Akeu                                                       | aeu            |                |               
Akha                                                       | ahk            |                |               
Akhvakh                                                    | akv            |                |               
Akkadian                                                   | akk            | akk            |               
Akkala Sami                                                | sia            |                |               
Aklanon                                                    | akl            |                |               
Akolet                                                     | akt            |                |               
Akoose                                                     | bss            |                |               
Akoye                                                      | miw            |                |               
Akpa                                                       | akf            |                |               
Akpes                                                      | ibe            |                |               
Akrukay                                                    | afi            |                |               
Akukem                                                     | spm            |                |               
Akuku                                                      | ayk            |                |               
Akum                                                       | aku            |                |               
Akuntsu                                                    | aqz            |                |               
Akurio                                                     | ako            |                |               
Akwa                                                       | akw            |                |               
Akyaung Ari Naga                                           | nqy            |                |               
Al-Sayyid Bedouin Sign Language                            | syy            |                |               
Alaba-K’abeena                                             | alw            |                |               
Alabama                                                    | akz            |                |               
Alabat Island Agta                                         | dul            |                |               
Alacalufan languages                                       | aqa            |                |               
Alacatlatzala Mixtec                                       | mim            |                |               
Alago                                                      | ala            |                |               
Alagwa                                                     | wbj            |                |               
Alak                                                       | alk            |                |               
Alamblak                                                   | amp            |                |               
Alangan                                                    | alj            |                |               
Alanic                                                     | xln            |                |               
Alapmunte                                                  | apv            |                |               
Alawa                                                      | alh            |                |               
Albanian Sign Language                                     | sqk            |                |               
Albanian languages                                         | sqj            |                |               
Albanian                                                   | alb            | alb            | sq            
Albarradas Sign Language                                   | lsc            |                |               
Albay Bicolano                                             | bhk            |                |               
Alcozauca Mixtec                                           | xta            |                |               
Alege                                                      | alf            |                |               
Alekano                                                    | gah            |                |               
Aleut                                                      | ale            | ale            |               
Algerian Arabic                                            | arq            |                |               
Algerian Jewish Sign Language                              | ajs            |                |               
Algerian Saharan Arabic                                    | aao            |                |               
Algerian Sign Language                                     | asp            |                |               
Algic languages                                            | aql            |                |               
Algonquian languages                                       | alg            | alg            |               
Algonquin                                                  | alq            |                |               
Ali                                                        | aiy            |                |               
Alladian                                                   | ald            |                |               
Allar                                                      | all            |                |               
Alngith                                                    | aid            |                |               
Alo Phola                                                  | ypo            |                |               
Alor                                                       | aol            |                |               
Aloápam Zapotec                                            | zaq            |                |               
Alsea                                                      | aes            |                |               
Altaic languages                                           | tut            | tut            |               
Alu Kurumba                                                | xua            |                |               
Alugu                                                      | aub            |                |               
Alumu-Tesu                                                 | aab            |                |               
Alune                                                      | alp            |                |               
Aluo                                                       | yna            |                |               
Alur                                                       | alz            |                |               
Alutor                                                     | alr            |                |               
Alviri-Vidari                                              | avd            |                |               
Alyawarr                                                   | aly            |                |               
Ama (Papua New Guinea)                                     | amm            |                |               
Ama (Sudan)                                                | nyi            |                |               
Amahai                                                     | amq            |                |               
Amahuaca                                                   | amc            |                |               
Amaimon                                                    | ali            |                |               
Amal                                                       | aad            |                |               
Amami Koniya Sign Language                                 | jks            |                |               
Amanab                                                     | amn            |                |               
Amanayé                                                    | ama            |                |               
Amara                                                      | aie            |                |               
Amarakaeri                                                 | amr            |                |               
Amarasi                                                    | aaz            |                |               
Amatlán Zapotec                                            | zpo            |                |               
Amba (Solomon Islands)                                     | utp            |                |               
Amba (Uganda)                                              | rwm            |                |               
Ambai                                                      | amk            |                |               
Ambakich                                                   | aew            |                |               
Ambala Ayta                                                | abc            |                |               
Ambelau                                                    | amv            |                |               
Ambele                                                     | ael            |                |               
Amblong                                                    | alm            |                |               
Ambo                                                       | amb            |                |               
Ambo-Pasco Quechua                                         | qva            |                |               
Ambonese Malay                                             | abs            |                |               
Ambrak                                                     | aag            |                |               
Ambul                                                      | apo            |                |               
Ambulas                                                    | abt            |                |               
Amdang                                                     | amj            |                |               
Amdo Tibetan                                               | adx            |                |               
Amele                                                      | aey            |                |               
American Sign Language                                     | ase            |                |               
Amganad Ifugao                                             | ifa            |                |               
Amharic                                                    | amh            | amh            | am            
Ami                                                        | amy            |                |               
Amis                                                       | ami            |                |               
Amo                                                        | amo            |                |               
Amol                                                       | alx            |                |               
Amoltepec Mixtec                                           | mbz            |                |               
Ampanang                                                   | apg            |                |               
Ampari Dogon                                               | aqd            |                |               
Amri Karbi                                                 | ajz            |                |               
Amto                                                       | amt            |                |               
Amundava                                                   | adw            |                |               
Amurdak                                                    | amg            |                |               
Ana Tinga Dogon                                            | dti            |                |               
Anaang                                                     | anw            |                |               
Anakalangu                                                 | akg            |                |               
Anal                                                       | anm            |                |               
Anam                                                       | pda            |                |               
Anambé                                                     | aan            |                |               
Anamgura                                                   | imi            |                |               
Anasi                                                      | bpo            |                |               
Ancient Hebrew                                             | hbo            |                |               
Ancient Macedonian                                         | xmk            |                |               
Ancient North Arabian                                      | xna            |                |               
Ancient Zapotec                                            | xzp            |                |               
Andaandi                                                   | dgl            |                |               
Andai                                                      | afd            |                |               
Andajin                                                    | ajn            |                |               
Andalusian Arabic                                          | xaa            |                |               
Andaman Creole Hindi                                       | hca            |                |               
Andaqui                                                    | ana            |                |               
Andarum                                                    | aod            |                |               
Andegerebinha                                              | adg            |                |               
Andh                                                       | anr            |                |               
Andi                                                       | ani            |                |               
Andio                                                      | bzb            |                |               
Andoa                                                      | anb            |                |               
Andoque                                                    | ano            |                |               
Andra-Hus                                                  | anx            |                |               
Aneityum                                                   | aty            |                |               
Anem                                                       | anz            |                |               
Aneme Wake                                                 | aby            |                |               
Anfillo                                                    | myo            |                |               
Angaataha                                                  | agm            |                |               
Angaité                                                    | aqt            |                |               
Angal Enen                                                 | aoe            |                |               
Angal Heneng                                               | akh            |                |               
Angal                                                      | age            |                |               
Angami Naga                                                | njm            |                |               
Angguruk Yali                                              | yli            |                |               
Angika                                                     | anp            | anp            |               
Angkamuthi                                                 | avm            |                |               
Anglo-Norman                                               | xno            |                |               
Angloromani                                                | rme            |                |               
Angolar                                                    | aoa            |                |               
Angor                                                      | agg            |                |               
Angoram                                                    | aog            |                |               
Angosturas Tunebo                                          | tnd            |                |               
Anguthimri                                                 | awg            |                |               
Ani Phowa                                                  | ypn            |                |               
Anii                                                       | blo            |                |               
Animere                                                    | anf            |                |               
Anindilyakwa                                               | aoi            |                |               
Aninka                                                     | aqk            |                |               
Anjam                                                      | boj            |                |               
Ankave                                                     | aak            |                |               
Anmatyerre                                                 | amx            |                |               
Anong                                                      | nun            |                |               
Anor                                                       | anj            |                |               
Anserma                                                    | ans            |                |               
Ansus                                                      | and            |                |               
Antakarinya                                                | ant            |                |               
Antankarana Malagasy                                       | xmv            |                |               
Antigua and Barbuda Creole English                         | aig            |                |               
Anu-Hkongso Chin                                           | anl            |                |               
Anuak                                                      | anu            |                |               
Anufo                                                      | cko            |                |               
Anuki                                                      | aui            |                |               
Anus                                                       | auq            |                |               
Anuta                                                      | aud            |                |               
Anyin Morofo                                               | mtb            |                |               
Anyin                                                      | any            |                |               
Ao Naga                                                    | njo            |                |               
Aoheng                                                     | pni            |                |               
Aore                                                       | aor            |                |               
Ap Ma                                                      | kbx            |                |               
Apache languages                                           | apa            | apa            |               
Apalachee                                                  | xap            |                |               
Apalaí                                                     | apy            |                |               
Apali                                                      | ena            |                |               
Apasco-Apoala Mixtec                                       | mip            |                |               
Apatani                                                    | apt            |                |               
Apiaká                                                     | api            |                |               
Apinayé                                                    | apn            |                |               
Apma                                                       | app            |                |               
Aproumu Aizi                                               | ahp            |                |               
Apurinã                                                    | apu            |                |               
Aputai                                                     | apx            |                |               
Aquitanian                                                 | xaq            |                |               
Arabana                                                    | ard            |                |               
Arabela                                                    | arl            |                |               
Arabic                                                     | ara            | ara            | ar            
Aragonese                                                  | arg            | arg            | an            
Araki                                                      | akr            |                |               
Arakwal                                                    | rkw            |                |               
Aralle-Tabulahan                                           | atq            |                |               
Aramanik                                                   | aam            |                |               
Arammba                                                    | stk            |                |               
Aranadan                                                   | aaf            |                |               
Aranama-Tamique                                            | xrt            |                |               
Arandai                                                    | jbj            |                |               
Araona                                                     | aro            |                |               
Arapaho                                                    | arp            | arp            |               
Arapaso                                                    | arj            |                |               
Ararandewára                                               | xaj            |                |               
Arauan languages                                           | auf            |                |               
Arawak                                                     | arw            | arw            |               
Arawakan languages                                         | awd            |                |               
Araweté                                                    | awt            |                |               
Arawum                                                     | awm            |                |               
Arbore                                                     | arv            |                |               
Arbëreshë Albanian                                         | aae            |                |               
Archi                                                      | aqc            |                |               
Ardhamāgadhī Prākrit                                       | pka            |                |               
Are                                                        | mwc            |                |               
Areba                                                      | aea            |                |               
Arem                                                       | aem            |                |               
Arequipa-La Unión Quechua                                  | qxu            |                |               
Argentine Sign Language                                    | aed            |                |               
Argobba                                                    | agj            |                |               
Arguni                                                     | agf            |                |               
Arhuaco                                                    | arh            |                |               
Arhâ                                                       | aqr            |                |               
Arhö                                                       | aok            |                |               
Ari                                                        | aac            |                |               
Aribwatsa                                                  | laz            |                |               
Aribwaung                                                  | ylu            |                |               
Arifama-Miniafia                                           | aai            |                |               
Arigidi                                                    | aqg            |                |               
Arikapú                                                    | ark            |                |               
Arikara                                                    | ari            |                |               
Arikem                                                     | ait            |                |               
Arin                                                       | xrn            |                |               
Aringa                                                     | luc            |                |               
Arma                                                       | aoh            |                |               
Armazic                                                    | xrm            |                |               
Armenian (family)                                          | hyx            |                |               
Armenian Sign Language                                     | aen            |                |               
Armenian                                                   | arm            | arm            | hy            
Arop-Lokep                                                 | apr            |                |               
Arop-Sissano                                               | aps            |                |               
Arosi                                                      | aia            |                |               
Arpitan                                                    | frp            |                |               
Arritinngithigh                                            | rrt            |                |               
Arta                                                       | atz            |                |               
Artificial languages                                       | art            | art            |               
Aruamu                                                     | msy            |                |               
Aruek                                                      | aur            |                |               
Aruop                                                      | lsr            |                |               
Arutani                                                    | atx            |                |               
Aruá (Amazonas State)                                      | aru            |                |               
Aruá (Rodonia State)                                       | arx            |                |               
Arvanitika Albanian                                        | aat            |                |               
As                                                         | asz            |                |               
Asaro'o                                                    | mtv            |                |               
Asas                                                       | asd            |                |               
Ashe                                                       | ahs            |                |               
Ashkun                                                     | ask            |                |               
Asho Chin                                                  | csh            |                |               
Ashtiani                                                   | atn            |                |               
